epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,1760.82,0.33061,0.44615,0.39309,0.81835,0,0.99174,0.9696,0.98771,0.94389,0.99631,0.9805,0.99433,0.91612,0.27372,0.38897,0.34013,0.76729,0,0.00038375,0.00038375,0.00038375
72,1791.78,0.34382,0.4316,0.46076,0.82241,0,0.98821,0.95323,0.96364,0.91497,0.99718,0.962,0.97401,0.87892,0.27946,0.39603,0.34606,0.76534,0,0.000371375,0.000371375,0.000371375
73,1819.47,0.34004,0.4257,0.39324,0.82207,0,0.98667,0.97142,0.9873,0.94505,0.9863,0.97142,0.9869,0.89871,0.27825,0.41034,0.34707,0.76442,0,0.000359,0.000359,0.000359
74,1849.6,0.32392,0.40567,0.42954,0.82273,0,0.98409,0.9811,0.98789,0.94885,0.98392,0.98123,0.98723,0.91255,0.28473,0.3912,0.33745,0.76444,0,0.000346625,0.000346625,0.000346625
75,1878.81,0.33264,0.40452,0.39562,0.82314,0,0.98617,0.97955,0.98822,0.94622,0.99489,0.98832,0.99482,0.91029,0.28332,0.3727,0.33794,0.76236,0,0.00033425,0.00033425,0.00033425
76,1909.41,0.33182,0.39922,0.38494,0.81804,0,0.98914,0.93049,0.93881,0.89452,0.99838,0.93926,0.94572,0.85724,0.27134,0.35141,0.33475,0.76231,0,0.000321875,0.000321875,0.000321875
77,1938.9,0.35473,0.78995,0.42994,0.80737,0,0.97884,0.98623,0.98796,0.9465,0.98754,0.99499,0.99483,0.90938,0.26098,0.34761,0.32975,0.76298,0,0.0003095,0.0003095,0.0003095
78,1966.13,0.31675,0.39412,0.3746,0.80939,0,0.97678,0.98532,0.98752,0.94752,0.98541,0.99405,0.99457,0.90758,0.26841,0.35884,0.32516,0.76802,0,0.000297125,0.000297125,0.000297125
79,1993.46,0.35298,0.4875,0.38448,0.82666,0,0.97583,0.98495,0.98753,0.94622,0.98448,0.99364,0.99457,0.9093,0.26796,0.36191,0.32441,0.76919,0,0.00028475,0.00028475,0.00028475
80,2021.67,0.32934,0.38797,0.36854,0.82181,0,0.99816,0.96307,0.98779,0.93991,0.98621,0.98503,0.99465,0.90461,0.27408,0.36205,0.3268,0.7685,0,0.000272375,0.000272375,0.000272375
81,2048.22,0.32688,0.51937,0.41217,0.8142,0,0.98809,0.97398,0.98805,0.93828,0.98197,0.99099,0.99465,0.90417,0.2708,0.35853,0.32687,0.76347,0,0.00026,0.00026,0.00026
82,2076.54,0.3407,0.4093,0.36406,0.81318,0,0.99537,0.97911,0.98823,0.94804,0.99537,0.97911,0.99465,0.90077,0.24376,0.36355,0.31443,0.75876,0,0.000247625,0.000247625,0.000247625
83,2102.71,0.31713,0.42138,0.36199,0.8148,0,0.99403,0.97916,0.98823,0.95566,0.98705,0.98735,0.99482,0.91013,0.24635,0.36266,0.3125,0.75897,0,0.00023525,0.00023525,0.00023525
84,2130.41,0.30861,0.35893,0.36093,0.8136,0,0.99245,0.98476,0.98841,0.95176,0.99724,0.99399,0.995,0.91183,0.2574,0.35716,0.31402,0.75972,0,0.000222875,0.000222875,0.000222875
85,2158.92,0.33131,0.43097,0.42009,0.80095,0,0.98954,0.98468,0.98797,0.95599,0.99827,0.99345,0.995,0.92217,0.2498,0.34568,0.30595,0.75897,0,0.0002105,0.0002105,0.0002105
86,2185.04,0.31244,0.42323,0.35958,0.80948,0,0.97863,0.9884,0.98779,0.95227,0.98731,0.99718,0.99483,0.9183,0.24878,0.35148,0.3056,0.75837,0,0.000198125,0.000198125,0.000198125
87,2210.8,0.30593,0.37933,0.35837,0.81037,0,0.97878,0.98751,0.98779,0.94799,0.98746,0.99628,0.99483,0.90914,0.24524,0.35358,0.30047,0.75844,0,0.00018575,0.00018575,0.00018575
88,2238.34,0.32068,0.43501,0.36926,0.81374,0,0.99,0.98157,0.98814,0.94668,0.99874,0.99034,0.995,0.90605,0.24377,0.35644,0.29501,0.75908,0,0.000173375,0.000173375,0.000173375
