epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
80,3891.85,0.302,0.38257,0.32168,0.81007,0,0.99153,0.98901,0.9947,0.96483,0.98884,0.9863,0.99454,0.92099,0.22103,0.31222,0.27243,0.76476,0,0.000272375,0.000272375,0.000272375
81,3939.25,0.30141,0.37732,0.32312,0.80733,0,0.98958,0.98866,0.99456,0.96352,0.98689,0.98595,0.99442,0.92547,0.21888,0.31202,0.26766,0.7645,0,0.00026,0.00026,0.00026
82,3991.15,0.27915,0.35577,0.30615,0.79981,0,0.98878,0.99079,0.99461,0.9653,0.98309,0.98507,0.9911,0.93513,0.21857,0.30783,0.26706,0.76316,0,0.000247625,0.000247625,0.000247625
83,4040.87,0.29784,0.40195,0.31944,0.809,0,0.9907,0.98866,0.99423,0.96498,0.98484,0.98378,0.99252,0.93601,0.21219,0.31122,0.26823,0.76285,0,0.00023525,0.00023525,0.00023525
84,4086.77,0.29235,0.3946,0.32408,0.81763,0,0.99251,0.98866,0.99458,0.9669,0.98679,0.98295,0.99198,0.93475,0.20891,0.31136,0.26765,0.76222,0,0.000222875,0.000222875,0.000222875
85,4134.1,0.30268,0.40952,0.32233,0.8088,0,0.99234,0.98866,0.99455,0.9668,0.98661,0.98295,0.9913,0.93429,0.20782,0.30684,0.26765,0.76226,0,0.0002105,0.0002105,0.0002105
86,4177.59,0.30638,0.39114,0.32461,0.80911,0,0.98844,0.9919,0.99458,0.96863,0.98574,0.98919,0.9936,0.93552,0.21049,0.30642,0.26697,0.76241,0,0.000198125,0.000198125,0.000198125
87,4226.09,0.27737,0.41251,0.30927,0.81077,0,0.9918,0.99183,0.99481,0.97027,0.9891,0.98912,0.99383,0.9414,0.20842,0.30419,0.26297,0.76239,0,0.00018575,0.00018575,0.00018575
88,4273.66,0.29611,0.40404,0.31701,0.80677,0,0.98847,0.99202,0.9947,0.96925,0.98577,0.98931,0.99388,0.92961,0.21642,0.31581,0.2634,0.76388,0,0.000173375,0.000173375,0.000173375
89,4322.14,0.2893,0.36748,0.30818,0.80162,0,0.98811,0.99091,0.99464,0.96889,0.9824,0.9852,0.99204,0.93475,0.20586,0.31171,0.26039,0.76312,0,0.000161,0.000161,0.000161
90,4368.81,0.28993,0.38684,0.31238,0.80043,0,0.99088,0.98922,0.99467,0.96913,0.98517,0.98351,0.99242,0.93712,0.20824,0.3072,0.25928,0.76254,0,0.000148625,0.000148625,0.000148625
91,4433.25,0.27153,0.35344,0.35598,0.76477,0,0.99357,0.98386,0.99475,0.96762,0.98786,0.97815,0.99204,0.9311,0.21811,0.30958,0.26374,0.76289,0,0.00013625,0.00013625,0.00013625
92,4487.48,0.2578,0.3725,0.31813,0.77668,0,0.99736,0.9824,0.99467,0.96634,0.99163,0.97669,0.99061,0.9184,0.22319,0.31229,0.28271,0.76291,0,0.000123875,0.000123875,0.000123875
93,4545.11,0.25673,0.35208,0.31736,0.77161,0,0.99882,0.98276,0.99467,0.96614,0.99307,0.97704,0.99007,0.91763,0.21009,0.31173,0.27955,0.76196,0,0.0001115,0.0001115,0.0001115
94,4600.49,0.24785,0.32428,0.3197,0.77925,0,0.98911,0.99144,0.99465,0.96816,0.98339,0.98573,0.98982,0.92331,0.20725,0.30798,0.27025,0.76151,0,9.9125e-05,9.9125e-05,9.9125e-05
95,4651.49,0.24867,0.34491,0.30737,0.77838,0,0.98954,0.99144,0.99462,0.9666,0.98382,0.98573,0.98964,0.91509,0.20866,0.30596,0.26479,0.76144,0,8.675e-05,8.675e-05,8.675e-05
96,4704.97,0.23793,0.32399,0.30393,0.76707,0,0.99518,0.9855,0.99468,0.96673,0.98902,0.97986,0.98926,0.91121,0.20941,0.30706,0.26422,0.7612,0,7.4375e-05,7.4375e-05,7.4375e-05
97,4755.18,0.25115,0.33674,0.30512,0.78197,0,0.99591,0.98589,0.99473,0.9667,0.99018,0.98017,0.98949,0.9139,0.20817,0.29785,0.26386,0.76086,0,6.2e-05,6.2e-05,6.2e-05
98,4809.88,0.23954,0.31325,0.3,0.76834,0,0.99385,0.98838,0.99475,0.96841,0.98812,0.98267,0.9896,0.92105,0.20442,0.2997,0.25943,0.76063,0,4.9625e-05,4.9625e-05,4.9625e-05
99,4861.94,0.24419,0.34624,0.29781,0.76917,0,0.99735,0.98637,0.99476,0.96822,0.9916,0.98066,0.98974,0.92646,0.20294,0.30053,0.25749,0.76019,0,3.725e-05,3.725e-05,3.725e-05
100,4909.59,0.2384,0.32319,0.29513,0.77803,0,0.99735,0.98677,0.99476,0.96829,0.99161,0.98106,0.98978,0.93045,0.20038,0.29886,0.25569,0.75986,0,2.4875e-05,2.4875e-05,2.4875e-05
